Title;Category;Rating;Price;Duration;Skills;Number of viewers;Instructors;Language;Site;Course Type;Courses
Data Science Specialization;Data Science;4,5;0,0;88,0;Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ;38;Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,;English;Coursera;Specialization;Unkown
Supply Chain Management Specialization;Business;4,8;0,0;48,0;Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ;11;Rudolf Leuschner, Ph.D. ,;English;Coursera;Specialization;Unkown
Fintech: Foundations & Applications of Financial Technology Specialization;Business;4,6;0,0;32,0;Investment Management, Cryptocurrency, regulation, Blockchain, ;3;Christopher Geczy ,Natasha Sarin ,Jessica Wachter ,Sarah Hammer ,David Musto ,;English;Coursera;Specialization;Unkown
Microsoft 365 Fundamentals Specialization;Business;4,7;0,0;40,0;Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, ;1; Microsoft ,;English;Coursera;Specialization;Unkown
Search Engine Optimization (SEO) Specialization;Business;4,7;0,0;40,0;Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ;10;Rebekah May ,Eric Enge ,;English;Coursera;Specialization;Unkown
AI Product Management Specialization;Data Science;4,7;0,0;32,0;Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ;165;Jon Reifschneider ,;English;Coursera;Specialization;Unkown
Introduction to Programming with Python and Java Specialization;Computer Science;4,4;0,0;32,0;Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ;960;Brandon Krakowsky ,;English;Coursera;Specialization;Unkown
Construction Management Specialization;Business;4,8;0,0;56,0;Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ;6;Ibrahim Odeh, Ph.D., MBA ,;English;Coursera;Specialization;Unkown
IBM Introduction to Machine Learning Specialization;Data Science;4,7;0,0;48,0;Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ;251;Joseph Santarcangelo ,Svitlana (Lana) Kramar ,Mark J Grover ,Miguel Maldonado ,Yan Luo ,Xintong Li ,;English;Coursera;Specialization;Unkown
Data Analysis and Presentation Skills: the PwC Approach Specialization;Business;4,7;0,0;48,0;Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ;9;Alex Mannella ,;English;Coursera;Specialization;Unkown
AWS Fundamentals Specialization;Information Technology;4,6;0,0;40,0;AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ;10;Morgan Willis ,Seph Robinson ,Rudy Chetty ,Hong Pham ,Alex G. ,Wes Gruver ,Bobbie Atristain ,Rick Hurst ,Adam Becker ,;English;Coursera;Specialization;Unkown
Data Science: Foundations using R Specialization;Data Science;4,6;0,0;40,0;Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ;5;Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,;English;Coursera;Specialization;Unkown
Python 3 Programming Specialization;Computer Science;4,7;0,0;40,0;Json, Computer Programming, Python Programming, Sorting, ;15;Paul Resnick ,Steve Oney ,Christopher Brooks ,;English;Coursera;Specialization;Unkown
Reinforcement Learning Specialization;Data Science;4,8;0,0;40,0;Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ;2;Martha White ,Adam White ,;English;Coursera;Specialization;Unkown
Accelerated Computer Science Fundamentals Specialization;Computer Science;4,7;0,0;24,0;Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ;2;Wade Fagen-Ulmschneider ,;English;Coursera;Specialization;Unkown
Digital Marketing Specialization;Business;4,6;0,0;64,0;Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ;16;Aric Rindfleisch ,Kevin Hartman ,Mike Yao ,Vishal Sachdev ,;English;Coursera;Specialization;Unkown
